Seq. No,Description,Example behaviour,Example task
1,"Works effectively within established iOS or Android architectures, following current best practices","Delivers features requiring simple local modifications, Adds simple actions that call server endpoints, Reuses existing components appropriately","Added existing button to a different iOS surface, Add follow button for publications on Androi, Fetched and displayed a new stream, using existing stream item styles"
2,"Develops new instances of existing architecture, or minor improvements to existing architecture","Defines new useful and appropriate proto-generated objects, Creates simple new activities on Android, Migrates code from old patterns to new pattern","Upgraded SDWebImage to a new major version, Added support for rendering a new type of stream item, Prototyped a simple new feature quickly"
,Designs major new features and demonstrates a nuanced understanding of mobile platform constraints,"Implements complex features with a large product surface area, Works effectively with  Android reactive programming framework",Designed iOS caching strategy for offline reading
2,"Builds complex, reusable architectures that pioneer best practices and enable engineers to work more effectively","Fixes subtle memory management issues, Implements interactive dismissals that bring delight","Upgraded CocoaPods to a new major version, Designed architecture for fetching and rendering stream items"
