Seq. No,Description,Example behaviour,Example task
1,"Works effectively within established iOS or Android architectures, following current best practices","Delivers features requiring simple local modifications, Adds simple actions that call server endpoints, Reuses existing components appropriately","Added existing button to a different iOS surface, Add follow button for publications on Androi, Fetched and displayed a new stream, using existing stream item styles"
2,"Develops new instances of existing architecture, or minor improvements to existing architecture","Defines new useful and appropriate proto-generated objects, Creates simple new activities on Android, Migrates code from old patterns to new pattern","Upgraded SDWebImage to a new major version, Added support for rendering a new type of stream item, Prototyped a simple new feature quickly"
