Name,Description
Mobile,"Develops expertise in native mobile platform engineering, such as iOS or Android"
Web Client,"Develops expertise in web client technologies, such as HTML, CSS, and JavaScript"
Foundations,"Develops expertise in foundational systems, such as deployments, pipelines, databases and machine learning"
Severs,"Develops expertise in server side engineering, using technologies such as Go, NodeJS, or Scala"
